id,priority,title,status,deadline
202506250700,3,Task52,TODO,07-00-25-06-2025
202601061755,2,SyncData,TODO,17-55-06-01-2026
202602060910,1,BuildCache,TODO,09-10-06-02-2026
202604232000,1,Learn English,TODO,20-00-23-04-2026
202604061805,2,CleanLogs,COMPLETE,18-05-06-04-2026
202603061050,2,TrackIssue,TODO,10-50-06-03-2026
202601201000,3,Cry,TODO,10-00-20-01-2026
202605060720,2,SyncDatabase,TODO,07-20-06-05-2026
202605210815,1,FixLogin,TODO,08-15-21-05-2026
202605220015,1,Lam Viec Nha,TODO,15-00-22-05-2026
202605061813,1,CompleteProject,TODO,18-13-06-05-2026
202605230015,1,Do Homework,TODO,15-00-23-05-2026
202605240900,1,TestModule,TODO,09-00-24-05-2026
202605231445,2,DeployAPI,COMPLETE,14-45-23-05-2026
202605281335,2,FixSearch,TODO,13-35-28-05-2026
202605261610,2,RefactorDB,COMPLETE,16-10-26-05-2026
202605251120,2,UpdateUI,TODO,11-20-25-05-2026
202605221030,2,AddReport,TODO,10-30-22-05-2026
202604232359,1,Complete English exam,TODO,23-59-23-04-2026
202605311215,2,PatchAuth,TODO,12-15-31-05-2026
202605300840,1,AddExport,TODO,08-40-30-05-2026
202606201750,2,Change scheduler,TODO,17-50-20-06-2026
202606211100,3,Task42,COMPLETE,11-00-21-06-2026
202606211000,2,Task41,COMPLETE,10-00-21-06-2026
202606210900,1,Task40,TODO,09-00-21-06-2026
202606061115,3,DeployService,TODO,11-15-06-06-2026
202606221300,2,Task44,TODO,13-00-22-06-2026
202606231600,2,Task47,TODO,16-00-23-06-2026
202606231500,1,Task46,TODO,15-00-23-06-2026
202606221400,3,Task45,COMPLETE,14-00-22-06-2026
202606221200,1,Task43,TODO,12-00-22-06-2026
202605291525,2,OptimizeX,COMPLETE,15-25-29-05-2026
202606241900,2,Task50,TODO,19-00-24-06-2026
202606241800,1,Task49,TODO,18-00-24-06-2026
202606250005,1,Eat,TODO,05-00-25-06-2026
202606261000,1,Task55,TODO,10-00-26-06-2026
202606250900,3,Task54,COMPLETE,09-00-25-06-2026
202606250800,2,Task53,TODO,08-00-25-06-2026
202606242000,3,Task51,COMPLETE,20-00-24-06-2026
202606261200,3,Task57,COMPLETE,12-00-26-06-2026
202606271400,2,Task59,TODO,14-00-27-06-2026
202606271500,3,Task60,COMPLETE,15-00-27-06-2026
202606271300,1,Task58,TODO,13-00-27-06-2026
202606281700,2,Task62,TODO,17-00-28-06-2026
202606290700,1,Task64,TODO,07-00-29-06-2026
202606290800,2,Task65,TODO,08-00-29-06-2026
202606281800,3,Task63,COMPLETE,18-00-28-06-2026
202606281600,1,Task61,TODO,16-00-28-06-2026
202606261100,2,Task56,TODO,11-00-26-06-2026
202606301000,1,Task67,TODO,10-00-30-06-2026
202606301100,2,Task68,TODO,11-00-30-06-2026
202607011300,1,Task70,TODO,13-00-01-07-2026
202607021600,1,Task73,TODO,16-00-02-07-2026
202607021700,2,Task74,TODO,17-00-02-07-2026
202607011500,3,Task72,COMPLETE,15-00-01-07-2026
202606301200,3,Task69,COMPLETE,12-00-30-06-2026
202607030700,1,Task76,TODO,07-00-03-07-2026
202607030900,3,Task78,COMPLETE,09-00-03-07-2026
202607030800,2,Task77,TODO,08-00-03-07-2026
202607041200,3,Task81,COMPLETE,12-00-04-07-2026
202607041100,2,Task80,TODO,11-00-04-07-2026
202607051400,2,Task83,TODO,14-00-05-07-2026
202607051300,1,Task82,TODO,13-00-05-07-2026
202607041000,1,Task79,TODO,10-00-04-07-2026
202607021800,3,Task75,COMPLETE,18-00-02-07-2026
202606290900,3,Task66,COMPLETE,09-00-29-06-2026
202607061640,3,FixPipeline,COMPLETE,16-40-06-07-2026
202607061600,1,Task85,TODO,16-00-06-07-2026
202607070700,1,Task88,TODO,07-00-07-07-2026
202607061800,3,Task87,COMPLETE,18-00-06-07-2026
202607061700,2,Task86,TODO,17-00-06-07-2026
202607070900,3,Task90,COMPLETE,09-00-07-07-2026
202607081200,3,Task93,COMPLETE,12-00-08-07-2026
202607081100,2,Task92,TODO,11-00-08-07-2026
202607081000,1,Task91,TODO,10-00-08-07-2026
202607091500,3,Task96,COMPLETE,15-00-09-07-2026
202607091400,2,Task95,TODO,14-00-09-07-2026
202607091300,1,Task94,TODO,13-00-09-07-2026
202607070800,2,Task89,TODO,08-00-07-07-2026
202607101700,2,Task98,TODO,17-00-10-07-2026
202608060825,1,GenerateReport,TODO,08-25-06-08-2026
202607110900,1,Task100,TODO,09-00-11-07-2026
202607101800,3,Task99,COMPLETE,18-00-10-07-2026
202611060645,2,AuditAccess,TODO,06-45-06-11-2026
202610061730,2,BackupServer,COMPLETE,17-30-06-10-2026
202609061255,3,OptimizeQuery,TODO,12-55-06-09-2026
202613061520,3,RefactorCode,COMPLETE,15-20-13-06-2026
202614060935,3,ValidateInput,TODO,09-35-14-06-2026
202616061815,3,ArchiveData,COMPLETE,18-15-16-06-2026
202619061625,3,CompressFiles,COMPLETE,16-25-19-06-2026
202618061445,3,PatchKernel,TODO,14-45-18-06-2026
202615061005,3,RestartNodes,TODO,10-05-15-06-2026
202627050750,2,WriteDocs,TODO,07-50-27-05-2026
202621061130,3,ScaleCluster,TODO,11-30-21-06-2026
202704042359,1,Hello,TODO,23-59-04-04-2027
202907081000,1,GraduateVNUHCM-HCMUS,TODO,10-00-08-07-2029
202700000010,1,TEST,TODO,10-00-00-00-2027
202620060840,3,ReindexSearch,TODO,08-40-20-06-2026
202612061310,3,UpdateSchema,TODO,13-10-06-12-2026
202607101600,1,Task97,TODO,16-00-10-07-2026
202607051500,3,Task84,COMPLETE,15-00-05-07-2026
202606231700,3,Task48,COMPLETE,17-00-23-06-2026
